customer_id,DOB,gender,Age (Years),YOB,MOB,address,postcode,state,job_industry_category,job_title,wealth_segment,owns_car,online_order,order_status,brand,product_line,product_class,product_size,tenure,property_valuation,past_3_years_bike_related_purchases,list_price,standard_cost,transaction_date,product_first_sold_date
15,13/07/2000,Male,23,2000,July,9861 New Castle Avenue,2428,NSW,Manufacturing,Junior Executive,Mass Customer,No,FALSE,Approved,Norco Bicycles,Road,medium,medium,1,9,91,544.05,376.84,10/03/2017,22/10/2005
16,27/02/1977,Male,47,1977,February,52 Moland Street,3331,VIC,n/a,Media Manager IV,Mass Customer,Yes,FALSE,Approved,Trek Bicycles,Standard,medium,large,18,4,38,2091.47,388.92,17/08/2017,25/11/2001
17,19/03/1962,Male,62,1962,March,82391 Kensington Lane,3058,VIC,n/a,Sales Associate,Affluent Customer,Yes,FALSE,Approved,Solex,Standard,medium,medium,15,9,57,478.16,298.72,14/03/2017,02/10/1992
18,06/07/1967,Female,56,1967,July,092 2nd Alley,2135,NSW,n/a,Professor,Affluent Customer,No,TRUE,Approved,Giant Bicycles,Standard,high,medium,11,12,79,1179,707.4,15/07/2017,25/08/1997
19,15/04/2001,Female,23,2001,April,59 Spaight Circle,2233,NSW,Manufacturing,Geological Engineer,High Net Worth,No,FALSE,Approved,Giant Bicycles,Standard,medium,small,1,9,76,1311.44,1167.18,31/01/2017,11/10/1992
20,13/08/1980,Male,43,1980,August,032 Bartelt Crossing,2444,NSW,Manufacturing,Project Manager,Mass Customer,No,TRUE,Approved,Giant Bicycles,Standard,high,medium,11,8,72,1129.13,677.48,01/11/2017,18/03/2003
21,20/09/1980,Male,43,1980,September,18 Jenna Center,2650,NSW,Manufacturing,Safety Technician I,Affluent Customer,Yes,TRUE,Approved,OHM Cycles,Standard,low,medium,16,7,74,1793.43,248.82,17/08/2017,20/07/1999
24,03/12/1977,Female,46,1977,December,3 Cordelia Plaza,2153,NSW,Argiculture,Research Assistant I,Mass Customer,Yes,FALSE,Approved,OHM Cycles,Standard,medium,medium,15,10,55,795.34,101.58,13/12/2017,04/10/1997
25,02/12/1976,Male,47,1976,December,28 5th Center,4413,QLD,Financial Services,Accounting Assistant III,Mass Customer,Yes,TRUE,Approved,OHM Cycles,Standard,medium,medium,21,3,72,795.34,101.58,04/03/2017,17/06/2015
26,10/06/1978,Female,45,1978,June,52 Carey Alley,4740,QLD,Financial Services,Editor,Mass Customer,Yes,TRUE,Approved,WeareA2B,Road,low,small,16,5,12,1172.78,1043.77,15/04/2017,16/01/2004
27,25/09/1978,Male,45,1978,September,96 Texas Plaza,3218,VIC,Health,Research Nurse,Mass Customer,Yes,TRUE,Approved,WeareA2B,Touring,medium,large,12,7,37,1890.39,260.14,18/07/2017,21/05/2015
28,30/09/1973,Male,50,1973,September,48 Eagan Avenue,4868,QLD,Health,Senior Quality Engineer,Affluent Customer,Yes,TRUE,Approved,Solex,Standard,medium,medium,21,4,5,1483.2,99.59,08/10/2017,02/10/1992
29,22/06/1968,Female,55,1968,June,9 Buell Park,4116,QLD,Manufacturing,Safety Technician III,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,high,medium,19,7,62,1179,707.4,16/09/2017,25/08/1997
30,18/10/1961,Male,62,1961,October,02663 Buell Parkway,2519,NSW,IT,null,Affluent Customer,Yes,FALSE,Approved,Trek Bicycles,Standard,medium,large,6,11,18,2091.47,388.92,16/06/2017,29/08/2011
31,24/11/1962,Female,61,1962,November,2294 Pleasure Place,2135,NSW,Telecommunications,Staff Accountant III,High Net Worth,Yes,TRUE,Approved,OHM Cycles,Road,medium,medium,14,12,3,742.54,667.4,25/05/2017,03/03/2014
32,20/04/1995,Female,29,1995,April,2951 Petterle Place,2756,NSW,Manufacturing,Legal Assistant,Affluent Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,large,4,9,17,569.56,528.43,26/03/2017,10/09/2003
33,25/06/1957,Male,66,1957,June,63 Lukken Drive,2170,NSW,n/a,Product Engineer,Affluent Customer,Yes,FALSE,Approved,WeareA2B,Standard,medium,medium,11,9,44,1292.84,13.44,30/05/2017,21/07/2003
35,28/09/1963,Female,60,1963,September,34 Russell Plaza,4127,QLD,Health,Information Systems Manager,High Net Worth,Yes,FALSE,Approved,Norco Bicycles,Road,medium,medium,16,6,40,1036.59,206.35,30/03/2017,10/01/2011
36,09/11/1977,Female,46,1977,November,78 Del Sol Hill,2535,NSW,n/a,VP Quality Control,Affluent Customer,No,FALSE,Approved,WeareA2B,Standard,medium,medium,22,8,33,60.34,45.26,08/04/2017,15/07/1993
37,22/12/1985,Female,38,1985,December,54 Sage Plaza,4726,QLD,Health,Social Worker,High Net Worth,No,TRUE,Approved,OHM Cycles,Standard,low,medium,16,1,46,1793.43,248.82,12/08/2017,20/07/1999
38,29/10/1955,Female,68,1955,October,90 Lawn Parkway,4805,QLD,Financial Services,Senior Cost Accountant,Affluent Customer,No,FALSE,Approved,Solex,Standard,low,medium,20,4,37,1289.85,74.51,10/11/2017,11/12/2007
39,16/04/1979,Male,45,1979,April,38726 Ilene Crossing,2212,NSW,Entertainment,Assistant Media Planner,Mass Customer,No,FALSE,Approved,Giant Bicycles,Road,medium,medium,22,10,5,792.9,594.68,26/11/2017,02/10/1992
40,27/10/1981,Female,42,1981,October,3496 Brown Drive,2207,NSW,Manufacturing,Payment Adjustment Coordinator,Affluent Customer,No,TRUE,Approved,Giant Bicycles,Standard,medium,medium,14,8,91,1403.5,954.82,09/05/2017,14/11/2016
41,14/04/1976,Male,48,1976,April,7188 Cody Way,3350,VIC,Health,Food Chemist,Mass Customer,No,TRUE,Approved,Norco Bicycles,Standard,high,medium,16,9,64,1148.64,689.18,15/04/2017,10/08/2015
42,28/03/1977,Female,47,1977,March,1 Claremont Park,3931,VIC,Manufacturing,Accountant III,Mass Customer,No,TRUE,Approved,Norco Bicycles,Standard,medium,small,18,10,24,586.45,521.94,01/02/2017,10/07/1991
43,01/03/1983,Female,41,1983,March,60 Eagan Circle,4018,QLD,Retail,Director of Sales,Mass Customer,No,FALSE,Approved,OHM Cycles,Standard,medium,medium,5,8,38,795.34,101.58,04/01/2017,09/02/1997
44,18/10/1981,Male,42,1981,October,89314 Eagle Crest Center,4670,QLD,Entertainment,Assistant Media Planner,Affluent Customer,Yes,FALSE,Approved,Trek Bicycles,Standard,high,medium,17,2,63,358.39,215.03,24/05/2017,16/01/2004
45,23/09/1975,Male,48,1975,September,2028 Lakewood Place,2480,NSW,Financial Services,Senior Financial Analyst,Mass Customer,No,TRUE,Approved,Trek Bicycles,Standard,medium,small,8,3,64,1775.81,1580.47,09/07/2017,05/05/2010
46,26/02/1972,Female,52,1972,February,70875 Hudson Point,3212,VIC,n/a,null,Affluent Customer,Yes,FALSE,Approved,Solex,Road,medium,small,15,6,98,1703.52,1516.13,12/05/2017,07/12/2005
47,22/10/1992,Male,31,1992,October,543 Killdeer Park,2322,NSW,Health,Registered Nurse,Affluent Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,medium,2,4,51,1403.5,954.82,25/11/2017,14/11/2016
48,15/08/1975,Female,48,1975,August,22125 Ramsey Drive,3198,VIC,n/a,Biostatistician II,Mass Customer,Yes,TRUE,Approved,WeareA2B,Road,low,small,8,9,46,1172.78,1043.77,01/05/2017,10/10/2002
49,26/01/1994,Male,30,1994,January,3107 Calypso Terrace,2210,NSW,n/a,VP Quality Control,Affluent Customer,No,TRUE,Approved,WeareA2B,Standard,medium,medium,1,9,63,1762.96,950.52,08/08/2017,28/07/2014
50,01/10/1980,Male,43,1980,October,957 Veith Junction,2047,NSW,Manufacturing,Account Executive,Mass Customer,Yes,FALSE,Approved,Giant Bicycles,Road,medium,medium,16,10,38,1538.99,829.65,04/12/2017,11/10/1992
51,05/12/1959,Male,64,1959,December,4853 Gulseth Avenue,4503,QLD,Retail,Computer Systems Analyst II,Mass Customer,No,FALSE,Approved,Norco Bicycles,Road,medium,large,18,5,68,1240.31,795.1,22/08/2017,10/01/2011
52,22/06/1988,Male,35,1988,June,9 Michigan Terrace,2145,NSW,Financial Services,null,Mass Customer,Yes,TRUE,Approved,WeareA2B,Standard,medium,medium,13,8,57,1807.45,778.69,03/12/2017,05/11/2010
53,18/04/1954,Female,70,1954,April,62 Steensland Road,4350,QLD,Financial Services,Software Test Engineer II,Mass Customer,No,FALSE,Approved,Norco Bicycles,Standard,medium,medium,16,3,22,360.4,270.3,23/12/2017,06/12/2016
54,24/07/1966,Female,57,1966,July,6 Homewood Avenue,2142,NSW,Property,Sales Associate,Mass Customer,Yes,TRUE,Approved,Solex,Standard,medium,medium,18,8,2,1945.43,333.18,07/10/2017,25/07/2004
55,24/09/1956,Male,67,1956,September,15 Almo Lane,2029,NSW,Financial Services,Paralegal,Affluent Customer,Yes,FALSE,Approved,WeareA2B,Standard,medium,medium,7,10,48,1065.03,230.09,22/09/2017,03/11/2000
56,04/07/1996,Male,27,1996,July,690 Glacier Hill Circle,2127,NSW,Property,VP Sales,Mass Customer,Yes,FALSE,Approved,OHM Cycles,Standard,high,medium,4,10,44,2005.66,1203.4,07/05/2017,25/11/2001
57,13/06/1988,Male,35,1988,June,89787 Village Green Terrace,4280,QLD,n/a,Chief Design Engineer,Mass Customer,Yes,FALSE,Approved,Giant Bicycles,Touring,medium,large,13,6,87,1873.97,863.95,13/05/2017,25/07/2004
58,04/07/1967,Female,56,1967,July,18 Elgar Park,2166,NSW,Financial Services,Office Assistant III,Affluent Customer,Yes,TRUE,Approved,OHM Cycles,Standard,high,medium,17,9,26,227.88,136.73,20/08/2017,04/08/2007
59,08/02/2000,Male,24,2000,February,413 Mayer Street,2046,NSW,n/a,Physical Therapy Assistant,High Net Worth,No,TRUE,Approved,WeareA2B,Touring,medium,large,3,9,60,1362.99,57.74,10/04/2017,20/04/1993
60,04/02/1970,Female,54,1970,February,39 3rd Drive,2026,NSW,Manufacturing,null,Mass Customer,No,FALSE,Approved,Norco Bicycles,Standard,low,medium,10,10,18,363.01,290.41,27/05/2017,10/05/2005
61,29/11/1959,Female,64,1959,November,44516 Katie Parkway,2765,NSW,Property,Help Desk Operator,High Net Worth,No,FALSE,Approved,WeareA2B,Touring,medium,medium,13,7,47,1466.68,363.25,13/11/2017,03/03/2014
62,06/07/1979,Female,44,1979,July,41 Schurz Center,2749,NSW,IT,null,Mass Customer,Yes,TRUE,Approved,Solex,Standard,medium,medium,22,8,38,1945.43,333.18,14/08/2017,31/08/2002
63,03/07/1965,Female,58,1965,July,68150 Boyd Road,2745,NSW,Retail,Senior Quality Engineer,Mass Customer,Yes,FALSE,Approved,WeareA2B,Touring,medium,large,16,9,58,1362.99,57.74,21/09/2017,10/05/2005
64,25/03/1978,Male,46,1978,March,11474 Westend Hill,3752,VIC,IT,Legal Assistant,High Net Worth,No,TRUE,Approved,OHM Cycles,Standard,high,medium,4,8,73,227.88,136.73,20/04/2017,07/02/2003
65,01/04/1976,Male,48,1976,April,308 Jana Crossing,2153,NSW,Financial Services,Information Systems Manager,Affluent Customer,Yes,FALSE,Approved,Solex,Standard,medium,medium,15,10,21,1577.53,826.51,08/04/2017,04/10/1997
66,11/03/2002,Male,22,2002,March,163 Straubel Trail,2217,NSW,Argiculture,Account Executive,High Net Worth,No,FALSE,Approved,Trek Bicycles,Standard,low,medium,1,10,46,1057.51,154.4,17/02/2017,12/07/1994
67,14/06/1960,Male,63,1960,June,68294 Clarendon Crossing,2230,NSW,Retail,Web Developer II,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,medium,18,10,67,230.91,173.18,18/03/2017,10/11/2006
68,21/04/1974,Female,50,1974,April,486 Mariners Cove Plaza,3046,VIC,n/a,Information Systems Manager,Affluent Customer,No,TRUE,Approved,Trek Bicycles,Standard,medium,large,9,7,37,2091.47,388.92,07/10/2017,07/05/2011
69,22/06/1969,Female,54,1969,June,0322 Dryden Court,3183,VIC,n/a,Web Developer II,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,large,6,7,16,1765.3,709.48,05/06/2017,25/07/2004
70,27/02/1993,Male,31,1993,February,9 Bonner Road,2070,NSW,Financial Services,Paralegal,Affluent Customer,No,TRUE,Approved,Trek Bicycles,Road,medium,large,8,12,78,1894.19,598.76,13/07/2017,21/07/2003
71,27/01/1985,Male,39,1985,January,07041 Briar Crest Lane,2213,NSW,Argiculture,Research Associate,Affluent Customer,Yes,FALSE,Approved,WeareA2B,Standard,medium,small,12,10,30,1415.01,1259.36,21/08/2017,10/10/2002
72,13/02/1972,Male,52,1972,February,29466 Hanson Pass,4208,QLD,Manufacturing,Administrative Officer,Affluent Customer,Yes,FALSE,Approved,Trek Bicycles,Standard,high,medium,16,6,93,495.72,297.43,10/08/2017,22/05/2000
73,27/05/1960,Female,64,1960,May,0212 Forest Run Trail,2774,NSW,n/a,Teacher,Affluent Customer,Yes,FALSE,Approved,Solex,Standard,medium,medium,5,8,16,575.27,431.45,30/04/2017,15/07/1993
74,19/06/1969,Female,54,1969,June,33055 Menomonie Parkway,4133,QLD,n/a,null,Mass Customer,Yes,TRUE,Approved,Giant Bicycles,Road,low,small,6,8,94,590.26,525.33,16/10/2017,20/08/2010
75,15/07/1978,Female,45,1978,July,4763 Merchant Avenue,2756,NSW,Property,VP Product Management,Mass Customer,No,TRUE,Approved,Solex,Standard,medium,medium,19,8,28,71.49,53.62,03/07/2017,02/12/2012
76,23/01/1978,Female,46,1978,January,439 Ridgeway Court,4213,QLD,Retail,Statistician II,High Net Worth,Yes,FALSE,Approved,Trek Bicycles,Mountain,low,medium,18,9,20,574.64,459.71,23/12/2017,09/07/2016
77,12/09/1989,Male,34,1989,September,2 Clyde Gallagher Lane,4170,QLD,Financial Services,Automation Specialist IV,Mass Customer,No,FALSE,Approved,Norco Bicycles,Mountain,low,small,7,5,79,688.63,612.88,20/09/2017,02/10/1993
78,12/03/1985,Male,39,1985,March,97455 Loeprich Lane,2153,NSW,Argiculture,Business Systems Development Analyst,Affluent Customer,No,TRUE,Approved,Giant Bicycles,Standard,medium,large,8,9,37,569.56,528.43,01/06/2017,10/09/2003
79,02/10/1968,Female,55,1968,October,9527 Ridgeway Street,2073,NSW,Manufacturing,Account Executive,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,high,medium,18,10,76,1179,707.4,13/11/2017,25/08/1997
80,24/04/1978,Male,46,1978,April,7 Jackson Point,3561,VIC,Entertainment,Data Coordiator,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,medium,13,1,11,1403.5,954.82,02/12/2017,14/11/2016
81,04/09/1986,Female,37,1986,September,74 Anniversary Junction,2330,NSW,Health,null,High Net Worth,No,FALSE,Approved,Trek Bicycles,Standard,medium,medium,13,6,58,499.53,388.72,26/12/2017,23/06/1999
82,28/06/1965,Female,58,1965,June,2083 Spaight Court,3977,VIC,Property,Software Test Engineer III,High Net Worth,No,FALSE,Approved,Giant Bicycles,Standard,medium,medium,19,8,93,642.7,211.37,13/10/2017,22/03/2002
83,26/02/1967,Male,57,1967,February,2796 Caliangt Circle,2204,NSW,IT,Internal Auditor,Mass Customer,Yes,FALSE,Approved,Trek Bicycles,Road,low,medium,18,12,97,980.37,234.43,11/10/2017,28/09/2004
84,07/02/1958,Male,66,1958,February,96061 Ludington Place,2086,NSW,n/a,Accountant III,Mass Customer,Yes,FALSE,Approved,OHM Cycles,Standard,high,medium,14,11,78,2005.66,1203.4,08/05/2017,12/04/2009
85,21/05/1958,Male,66,1958,May,5037 Merchant Crossing,2226,NSW,n/a,Analyst Programmer,Mass Customer,No,TRUE,Approved,Giant Bicycles,Road,medium,medium,8,11,1,792.9,594.68,18/01/2017,02/10/1992
86,04/03/1989,Male,35,1989,March,289 Haas Street,2075,NSW,Health,Occupational Therapist,High Net Worth,Yes,TRUE,Approved,OHM Cycles,Standard,low,medium,7,11,75,71.16,56.93,21/06/2017,22/10/2005
87,23/04/1974,Male,50,1974,April,4423 Bartelt Parkway,2038,NSW,Financial Services,Editor,Mass Customer,No,TRUE,Approved,Norco Bicycles,Road,medium,medium,8,12,78,544.05,376.84,08/11/2017,22/10/2005
88,03/02/1966,Female,58,1966,February,5 Grim Center,2069,NSW,Property,Help Desk Operator,High Net Worth,Yes,FALSE,Approved,Trek Bicycles,Road,low,small,7,12,41,1720.7,1531.42,15/06/2017,01/10/2006
89,22/01/1967,Male,57,1967,January,73042 Roth Crossing,2100,NSW,Health,Speech Pathologist,Mass Customer,Yes,FALSE,Approved,Solex,Standard,medium,large,14,11,74,1061.56,733.58,29/10/2017,21/05/2015
90,12/11/1984,Male,39,1984,November,171 Fordem Junction,2233,NSW,Manufacturing,Quality Control Specialist,Mass Customer,No,FALSE,Approved,WeareA2B,Standard,medium,medium,11,10,76,1762.96,950.52,05/08/2017,28/07/2014
91,24/02/1955,Male,69,1955,February,2640 Manley Point,2166,NSW,Financial Services,Senior Financial Analyst,Affluent Customer,Yes,TRUE,Approved,WeareA2B,Standard,medium,medium,17,9,69,1231.15,161.6,21/12/2017,12/03/2013
92,11/09/1980,Female,43,1980,September,3 Hintze Pass,3133,VIC,Health,Recruiting Manager,Mass Customer,No,FALSE,Approved,Trek Bicycles,Standard,medium,large,12,10,98,2091.47,388.92,26/11/2017,20/07/1999
93,16/07/1976,Male,47,1976,July,2 Mcbride Road,3070,VIC,Retail,Project Manager,Mass Customer,Yes,FALSE,Approved,OHM Cycles,Standard,high,medium,10,10,63,2005.66,1203.4,12/10/2017,09/05/2011
94,07/08/1974,Male,49,1974,August,67234 Transport Hill,2777,NSW,Manufacturing,Civil Engineer,Mass Customer,No,TRUE,Approved,Giant Bicycles,Standard,medium,medium,21,7,33,230.91,173.18,04/09/2017,10/11/2006
95,25/12/1960,Female,63,1960,December,72 Dorton Crossing,3133,VIC,Manufacturing,Software Engineer III,Affluent Customer,Yes,FALSE,Approved,OHM Cycles,Standard,medium,medium,8,10,67,912.52,141.4,30/10/2017,21/05/2015
96,31/08/1968,Male,55,1968,August,6 Heffernan Center,2125,NSW,Manufacturing,Nuclear Power Engineer,Mass Customer,No,FALSE,Approved,OHM Cycles,Road,medium,medium,15,11,33,1280.28,829.51,08/01/2017,25/11/2001
97,27/07/1979,Male,44,1979,July,6088 Roxbury Hill,2766,NSW,Financial Services,Community Outreach Specialist,Mass Customer,Yes,TRUE,Approved,Norco Bicycles,Standard,medium,medium,10,8,16,1198.46,381.1,29/05/2017,10/09/2003
98,17/03/1956,Female,68,1956,March,105 Shelley Alley,2209,NSW,Health,Safety Technician IV,Mass Customer,No,FALSE,Approved,Norco Bicycles,Standard,high,small,7,10,19,1661.92,1479.11,30/07/2017,09/09/1994
99,13/06/1998,Male,25,1998,June,079 Merry Park,2160,NSW,Financial Services,VP Accounting,Mass Customer,No,FALSE,Approved,Norco Bicycles,Standard,medium,medium,3,9,97,1198.46,381.1,04/09/2017,16/12/1998
100,11/05/1968,Male,56,1968,May,8722 Summit Alley,2065,NSW,Financial Services,General Manager,Mass Customer,Yes,TRUE,Approved,OHM Cycles,Standard,high,medium,4,12,80,2005.66,1203.4,10/05/2017,28/07/2014
101,29/12/1975,Male,48,1975,December,9554 Artisan Pass,2150,NSW,Manufacturing,Nurse Practicioner,High Net Worth,No,TRUE,Approved,OHM Cycles,Standard,high,medium,11,10,83,1458.17,874.9,23/03/2017,02/02/2006
102,27/11/1956,Male,67,1956,November,55850 Butterfield Road,2168,NSW,Manufacturing,Quality Control Specialist,Affluent Customer,No,TRUE,Approved,Giant Bicycles,Standard,high,medium,16,9,51,1179,707.4,12/09/2017,25/08/1997
103,21/04/1997,Female,27,1997,April,68 Little Fleur Crossing,2046,NSW,Financial Services,Product Engineer,Affluent Customer,Yes,TRUE,Approved,OHM Cycles,Standard,high,medium,4,12,49,227.88,136.73,03/06/2017,05/08/2003
104,06/06/1978,Female,45,1978,June,85688 New Castle Crossing,4171,QLD,Health,Automation Specialist II,Mass Customer,Yes,FALSE,Approved,null,null,null,null,9,10,40,1678.71,null,08/03/2017,null
105,17/09/2001,Female,22,2001,September,8611 Loomis Lane,2155,NSW,Manufacturing,Recruiting Manager,Mass Customer,No,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1,10,25,1555.58,818.01,06/03/2017,04/08/2007
106,03/07/1966,Male,57,1966,July,7909 Pierstorff Crossing,2517,NSW,Health,Software Test Engineer III,High Net Worth,Yes,FALSE,Approved,WeareA2B,Standard,medium,medium,18,9,54,1769.64,108.76,19/06/2017,04/06/2012
107,01/07/1990,Female,33,1990,July,01 Muir Parkway,2096,NSW,Financial Services,Nurse Practicioner,Mass Customer,Yes,TRUE,Approved,WeareA2B,Touring,medium,medium,9,12,97,1466.68,363.25,10/10/2017,09/09/1994
108,14/03/1994,Female,30,1994,March,0410 Division Junction,2750,NSW,n/a,null,High Net Worth,No,FALSE,Approved,Norco Bicycles,Road,medium,medium,3,8,4,1036.59,206.35,16/11/2017,06/05/1991
109,11/12/1978,Male,45,1978,December,41 Service Lane,2217,NSW,n/a,Marketing Assistant,Affluent Customer,Yes,TRUE,Approved,Solex,Standard,medium,medium,4,11,16,71.49,53.62,02/10/2017,02/12/2012
110,31/07/2000,Male,23,2000,July,5 Moose Road,3977,VIC,Financial Services,null,Affluent Customer,No,TRUE,Approved,Trek Bicycles,Mountain,low,medium,1,8,23,574.64,459.71,19/01/2017,29/08/2011
111,29/08/1993,Female,30,1993,August,7342 Fieldstone Junction,2093,NSW,n/a,Analyst Programmer,Mass Customer,No,FALSE,Approved,OHM Cycles,Standard,high,medium,2,12,65,227.88,136.73,05/08/2017,07/02/2003
112,12/08/1975,Female,48,1975,August,0 David Terrace,3204,VIC,Retail,Marketing Manager,High Net Worth,No,FALSE,Approved,Giant Bicycles,Standard,high,medium,12,11,88,1129.13,677.48,29/01/2017,18/03/2003
113,06/05/1956,Male,68,1956,May,15239 Northwestern Point,4300,QLD,n/a,Staff Scientist,Mass Customer,No,FALSE,Cancelled,WeareA2B,Road,low,small,20,4,67,1172.78,1043.77,04/01/2017,10/10/2002
114,23/10/1985,Female,38,1985,October,60 Oneill Street,2170,NSW,Entertainment,Teacher,Affluent Customer,No,FALSE,Approved,OHM Cycles,Standard,low,medium,8,9,10,71.16,56.93,21/10/2017,17/06/2015
115,21/12/1981,Male,42,1981,December,8194 Sachtjen Drive,3844,VIC,Health,Account Executive,Mass Customer,No,TRUE,Approved,Giant Bicycles,Touring,medium,large,18,1,77,1873.97,863.95,16/12/2017,22/05/2006
116,05/02/1999,Male,25,1999,February,0349 Farmco Terrace,2168,NSW,Manufacturing,Assistant Professor,Affluent Customer,Yes,TRUE,Approved,Giant Bicycles,Standard,high,medium,2,8,49,1129.13,677.48,15/05/2017,07/11/1991
117,23/02/1982,Female,42,1982,February,185 Pennsylvania Way,4226,QLD,Manufacturing,Marketing Manager,Mass Customer,No,TRUE,Approved,WeareA2B,Standard,medium,medium,15,6,75,1762.96,950.52,19/06/2017,14/11/2016
118,12/11/1959,Male,64,1959,November,432 Longview Circle,3192,VIC,n/a,Budget/Accounting Analyst IV,High Net Worth,No,FALSE,Approved,Giant Bicycles,Standard,medium,medium,19,10,43,642.7,211.37,21/10/2017,22/03/2002
119,04/12/1981,Male,42,1981,December,5814 Bunker Hill Street,3070,VIC,n/a,Associate Professor,High Net Worth,Yes,FALSE,Approved,Solex,Standard,medium,medium,9,7,9,478.16,298.72,31/07/2017,17/12/1998
120,02/09/1978,Male,45,1978,September,7 Carberry Crossing,2485,NSW,Financial Services,Legal Assistant,High Net Worth,Yes,TRUE,Approved,Norco Bicycles,Standard,high,medium,4,2,80,1148.64,689.18,20/06/2017,16/09/2013
121,02/10/1957,Male,66,1957,October,53 Talisman Trail,2097,NSW,Manufacturing,Graphic Designer,Mass Customer,No,FALSE,Approved,Solex,Standard,low,medium,15,9,82,1289.85,74.51,14/02/2017,11/12/2007
122,19/04/1979,Male,45,1979,April,5 Prairie Rose Road,4817,QLD,Financial Services,Quality Control Specialist,Mass Customer,Yes,FALSE,Approved,WeareA2B,Standard,medium,small,12,2,87,1415.01,1259.36,30/08/2017,10/08/1994
123,03/12/1988,Female,35,1988,December,84 Florence Parkway,2516,NSW,Financial Services,Analyst Programmer,High Net Worth,No,TRUE,Approved,WeareA2B,Standard,medium,medium,15,8,85,1762.96,950.52,22/06/2017,28/07/2014
124,03/05/1995,Female,29,1995,May,739 Elmside Way,3074,VIC,Health,Administrative Assistant II,High Net Worth,Yes,FALSE,Approved,Trek Bicycles,Mountain,low,medium,5,8,27,574.64,459.71,17/04/2017,29/08/2011
125,17/03/1960,Female,64,1960,March,684 Northport Circle,2213,NSW,Property,Computer Systems Analyst II,Mass Customer,No,TRUE,Approved,WeareA2B,Standard,medium,medium,16,10,94,1065.03,230.09,25/02/2017,03/11/2000
