first_name,last_name,gender,bikes_purchased,DOB,age,age_group,state,job_title,job_industry_category,wealth_segment,owns_car,tenure,tenure_period,property_valuation,valuation_category,predicted_value
Shaw,MacEvilly,Male,10,2000-05-06,24.0,20-30,NSW,Software Test Engineer III,Health,Affluent Customer,No,16,'15-20,9,'above 9,99.0
Burt,Vasechkin,Male,33,1950-04-15,74.0,above 70,VIC,Senior Sales Associate,Retail,Mass Customer,Yes,20,'above 20,2,bellow 3,99.0
Leticia,Danovich,Female,84,1941-10-02,82.0,above 70,QLD,Design Engineer,Entertainment,Mass Customer,Yes,15,'15-20,1,bellow 3,99.0
Harwell,Kleinstein,Male,87,1993-10-18,30.0,30-40,VIC,Sales Representative,Retail,Affluent Customer,No,15,'15-20,5,'3-6,99.0
Debby,Balmadier,Female,53,1992-06-24,31.0,30-40,VIC,Administrative Assistant II,Financial Services,Affluent Customer,Yes,5,'5-10,8,'6-9,98.0
Norina,Blakeway,Female,60,1980-02-11,44.0,40-50,VIC,Programmer Analyst II,Property,Mass Customer,Yes,3,bellow 5,8,'6-9,98.0
Gerta,Porrett,Female,46,1959-11-13,64.0,60-70,VIC,Registered Nurse,Health,High Net Worth,No,12,'10-15,2,bellow 3,98.0
Harlin,Mazin,Male,34,1974-03-25,50.0,50-60,NSW,Computer Systems Analyst I,Manufacturing,Mass Customer,Yes,13,'10-15,7,'6-9,98.0
Michele,Pammenter,Male,23,1983-06-26,40.0,40-50,VIC,Teacher,Health,High Net Worth,No,2,bellow 5,8,'6-9,97.0
Harvey,Dwelley,Male,70,1973-08-30,50.0,50-60,NSW,Help Desk Technician,Financial Services,Affluent Customer,No,18,'15-20,9,'above 9,97.0
Shepperd,Leonards,Male,17,1981-04-14,43.0,40-50,NSW,Chemical Engineer,Manufacturing,Mass Customer,Yes,5,'5-10,9,'above 9,97.0
Francklin,Cross,Male,51,1981-04-06,43.0,40-50,NSW,Teacher,Property,Mass Customer,Yes,3,bellow 5,10,'above 9,97.0
Symon,Mawne,Male,18,1943-02-08,81.0,above 70,VIC,Human Resources Assistant IV,Property,Mass Customer,Yes,15,'15-20,4,'3-6,97.0
Karlik,Penchen,Male,60,1994-10-31,29.0,20-30,QLD,Nurse Practicioner,Retail,Mass Customer,No,11,'10-15,6,'6-9,97.0
Killie,Densie,Male,87,1997-03-28,27.0,20-30,NSW,Environmental Tech,IT,Mass Customer,Yes,11,'10-15,10,'above 9,97.0
Maximilien,Bourget,Male,12,1969-04-29,55.0,50-60,VIC,Geologist I,Financial Services,Mass Customer,Yes,6,'5-10,7,'6-9,97.0
Elvira,Kurten,Female,65,1973-03-18,51.0,50-60,NSW,Assistant Professor,Financial Services,High Net Worth,No,12,'10-15,3,'3-6,96.0
Erasmus,Olenchenko,Male,56,1965-02-03,59.0,50-60,NSW,Software Test Engineer IV,Property,Mass Customer,Yes,5,'5-10,7,'6-9,96.0
Timi,Duny,Female,70,1953-03-12,71.0,above 70,NSW,Office Assistant II,Telecommunications,High Net Worth,No,6,'5-10,12,'above 9,96.0
Abner,Fraschetti,Male,33,1986-01-23,38.0,30-40,VIC,Staff Scientist,Argiculture,Affluent Customer,No,13,'10-15,7,'6-9,96.0
Torry,de la Valette Parisot,Male,95,1967-03-14,57.0,50-60,VIC,VP Marketing,Telecommunications,Mass Customer,Yes,18,'15-20,9,'above 9,96.0
Cecily,Faircley,Female,42,1947-06-12,76.0,above 70,QLD,Accountant IV,IT,Affluent Customer,Yes,19,'15-20,1,bellow 3,96.0
Rebeca,Aggas,Female,66,1953-02-27,71.0,above 70,VIC,Social Worker,Health,Affluent Customer,No,21,'above 20,1,bellow 3,96.0
Leona,Shorrock,Female,83,1951-08-23,72.0,above 70,QLD,Senior Quality Engineer,Financial Services,Affluent Customer,Yes,22,'above 20,1,bellow 3,96.0
Taylor,Steuhlmeyer,Male,62,1999-03-22,25.0,20-30,QLD,Paralegal,Financial Services,Affluent Customer,Yes,5,'5-10,8,'6-9,96.0
Caron,Kezar,Female,11,1953-08-08,70.0,above 70,NSW,Social Worker,Health,Mass Customer,No,5,'5-10,1,bellow 3,96.0
Giselbert,Pickring,Male,94,1959-07-28,64.0,60-70,NSW,Tax Accountant,Manufacturing,Affluent Customer,Yes,20,'above 20,8,'6-9,96.0
Arleen,Casbolt,Female,48,1975-05-10,49.0,40-50,QLD,Senior Quality Engineer,Financial Services,Affluent Customer,Yes,13,'10-15,1,bellow 3,96.0
Selle,Casper,Female,98,1978-03-27,46.0,40-50,NSW,Social Worker,Health,Mass Customer,Yes,10,'10-15,1,bellow 3,96.0
Griffith,Escot,Male,50,1946-10-23,77.0,above 70,QLD,Accountant III,IT,Mass Customer,Yes,16,'15-20,3,'3-6,96.0
Marcellina,Baynton,Female,60,1947-03-11,77.0,above 70,VIC,Software Engineer III,Financial Services,Mass Customer,No,16,'15-20,10,'above 9,95.0
Deirdre,Burgoine,Female,14,1955-01-08,69.0,60-70,VIC,Programmer III,Health,High Net Worth,No,7,'5-10,1,bellow 3,95.0
Xenia,Maleck,Female,41,1960-02-14,64.0,60-70,VIC,VP Product Management,Telecommunications,Mass Customer,No,12,'10-15,7,'6-9,95.0
Manya,Abramovici,Female,42,1955-07-17,68.0,60-70,QLD,Quality Engineer,Financial Services,High Net Worth,Yes,13,'10-15,8,'6-9,95.0
Alexa,Dillet,Female,65,1944-10-05,79.0,above 70,NSW,Product Engineer,Entertainment,Affluent Customer,No,17,'15-20,7,'6-9,95.0
Austine,Speedy,Female,38,1940-05-23,83.0,above 70,NSW,Software Engineer II,Argiculture,High Net Worth,Yes,14,'10-15,8,'6-9,95.0
Cordi,Thornton,Female,47,1973-01-04,51.0,50-60,NSW,Structural Engineer,Telecommunications,Mass Customer,No,11,'10-15,10,'above 9,95.0
Mavra,Finan,Female,30,1967-08-23,56.0,50-60,NSW,Nurse,Property,Affluent Customer,Yes,4,bellow 5,9,'above 9,94.0
Charlena,Berney,Female,55,1966-01-02,58.0,50-60,QLD,Geological Engineer,Manufacturing,High Net Worth,Yes,12,'10-15,4,'3-6,94.0
Bunny,Leebetter,Female,83,1966-04-30,58.0,50-60,QLD,Quality Engineer,Manufacturing,High Net Worth,Yes,8,'5-10,4,'3-6,94.0
Gilli,Christophers,Female,70,1948-03-02,76.0,above 70,QLD,Database Administrator IV,Property,Affluent Customer,Yes,17,'15-20,9,'above 9,94.0
Kellina,Haygreen,Female,38,1966-01-19,58.0,50-60,NSW,Librarian,Entertainment,Affluent Customer,No,18,'15-20,10,'above 9,94.0
Melinda,Hadlee,Female,34,1965-09-21,58.0,50-60,NSW,Financial Analyst,Financial Services,Affluent Customer,No,19,'15-20,9,'above 9,94.0
Andy,Deeming,Male,79,1979-01-09,45.0,40-50,QLD,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,Yes,7,'5-10,8,'6-9,94.0
Becka,Hacon,Female,81,1965-07-03,58.0,50-60,VIC,General Manager,Financial Services,Affluent Customer,No,17,'15-20,9,'above 9,94.0
Raleigh,Pont,Male,48,1964-11-02,59.0,50-60,VIC,Associate Professor,Entertainment,Mass Customer,No,14,'10-15,7,'6-9,94.0
Hayes,Daveren,Male,32,1953-03-27,71.0,above 70,QLD,VP Quality Control,Manufacturing,Affluent Customer,Yes,11,'10-15,2,bellow 3,94.0
Muffin,Grigolon,Male,7,1979-10-31,44.0,40-50,NSW,Senior Editor,Telecommunications,Mass Customer,No,12,'10-15,10,'above 9,94.0
Ardis,Taree,Female,97,1960-04-12,64.0,60-70,QLD,Chemical Engineer,Manufacturing,Affluent Customer,Yes,5,'5-10,9,'above 9,94.0
Matias,Melloi,Male,61,1977-02-03,47.0,40-50,NSW,Legal Assistant,Retail,Affluent Customer,No,11,'10-15,10,'above 9,93.0
Lizbeth,Garvan,Female,36,1996-09-06,27.0,20-30,NSW,Structural Analysis Engineer,Health,Mass Customer,No,4,bellow 5,9,'above 9,93.0
Luci,Dyter,Female,12,1952-05-30,71.0,above 70,VIC,Software Test Engineer I,Manufacturing,High Net Worth,No,20,'above 20,7,'6-9,93.0
Eugenie,Brinson,Female,79,1963-08-10,60.0,60-70,VIC,Assistant Media Planner,Entertainment,Mass Customer,Yes,17,'15-20,6,'6-9,93.0
Dennis,Varnham,Male,57,1953-05-17,71.0,above 70,VIC,Assistant Media Planner,Entertainment,Affluent Customer,No,17,'15-20,3,'3-6,93.0
Vitia,Axtens,Female,62,1945-08-08,78.0,above 70,NSW,Financial Advisor,Financial Services,Mass Customer,Yes,15,'15-20,10,'above 9,93.0
Nilson,Wiggam,Male,48,1996-02-15,28.0,20-30,VIC,Paralegal,Financial Services,Mass Customer,No,9,'5-10,6,'6-9,92.0
Therese,Brotherhood,Female,30,1981-07-28,42.0,40-50,NSW,Food Chemist,Health,Mass Customer,No,10,'10-15,10,'above 9,92.0
Keenan,Moriarty,Male,67,1994-12-23,29.0,20-30,QLD,Actuary,Financial Services,Mass Customer,Yes,2,bellow 5,8,'6-9,92.0
Felice,Dechelette,Male,75,1998-02-05,26.0,20-30,QLD,Librarian,Entertainment,High Net Worth,No,3,bellow 5,4,'3-6,92.0
Frederich,Glantz,Male,37,1997-08-27,26.0,20-30,NSW,Nuclear Power Engineer,Manufacturing,High Net Worth,Yes,10,'10-15,8,'6-9,91.0
Fayre,Brannigan,Female,32,1992-10-13,31.0,30-40,NSW,Geological Engineer,Manufacturing,Mass Customer,Yes,9,'5-10,10,'above 9,91.0
Keelby,Sudlow,Male,96,1988-09-01,35.0,30-40,VIC,Marketing Assistant,Manufacturing,High Net Worth,No,12,'10-15,8,'6-9,90.0
Leese,Huckleby,Female,67,1977-09-10,46.0,40-50,VIC,Help Desk Operator,Manufacturing,High Net Worth,Yes,16,'15-20,7,'6-9,90.0
Salomon,Perkins,Male,76,1998-01-12,26.0,20-30,NSW,Engineer IV,Financial Services,Affluent Customer,Yes,1,bellow 5,10,'above 9,90.0
Loleta,Aberdalgy,Female,45,1981-02-15,43.0,40-50,NSW,Occupational Therapist,Health,Mass Customer,No,11,'10-15,6,'6-9,90.0
Myrtie,Ostrich,Female,70,1996-06-18,27.0,20-30,NSW,VP Quality Control,Property,Affluent Customer,Yes,9,'5-10,7,'6-9,90.0
Kaylyn,Jakaway,Female,45,1980-07-30,43.0,40-50,NSW,Registered Nurse,Health,Affluent Customer,No,10,'10-15,8,'6-9,90.0
Lynnell,Shoesmith,Female,44,1981-01-29,43.0,40-50,NSW,Occupational Therapist,Health,High Net Worth,Yes,7,'5-10,8,'6-9,90.0
Daryl,Pauncefort,Female,12,1979-06-18,44.0,40-50,NSW,Community Outreach Specialist,Financial Services,Mass Customer,Yes,12,'10-15,3,'3-6,90.0
Leisha,McConway,Female,3,1975-10-31,48.0,40-50,VIC,Payment Adjustment Coordinator,Financial Services,Mass Customer,Yes,13,'10-15,8,'6-9,90.0
Maury,Galego,Male,65,1992-07-27,31.0,30-40,VIC,Social Worker,Health,High Net Worth,Yes,3,bellow 5,10,'above 9,90.0
Perry,Whitehurst,Male,79,1980-05-29,43.0,40-50,VIC,Structural Engineer,Manufacturing,High Net Worth,Yes,8,'5-10,7,'6-9,89.0
Nico,Chadwick,Male,97,1953-05-24,70.0,above 70,VIC,Research Assistant IV,Financial Services,Affluent Customer,No,13,'10-15,8,'6-9,89.0
Packston,Wackett,Male,10,1950-04-26,74.0,above 70,VIC,Quality Engineer,Financial Services,Mass Customer,No,19,'15-20,9,'above 9,89.0
Sonia,Dunstall,Female,0,1975-07-30,48.0,40-50,NSW,Accountant III,Financial Services,Mass Customer,No,10,'10-15,9,'above 9,89.0
Afton,Andrassy,Female,78,1998-10-14,25.0,20-30,VIC,Web Designer II,Retail,Mass Customer,No,7,'5-10,8,'6-9,89.0
Maribeth,Stivani,Female,46,1954-11-13,69.0,60-70,NSW,Associate Professor,Financial Services,Mass Customer,No,7,'5-10,8,'6-9,89.0
Carroll,Schlagman,Female,61,1951-08-25,72.0,above 70,NSW,Clinical Specialist,Health,Affluent Customer,No,13,'10-15,9,'above 9,89.0
Elvira,Darthe,Female,10,1975-04-08,49.0,40-50,NSW,Accounting Assistant I,Financial Services,Affluent Customer,No,16,'15-20,9,'above 9,89.0
Dorian,Emery,Female,94,1998-08-24,25.0,20-30,NSW,Professor,Manufacturing,Mass Customer,Yes,9,'5-10,8,'6-9,89.0
Roldan,Raybould,Male,27,1975-11-18,48.0,40-50,VIC,Actuary,Financial Services,Mass Customer,No,11,'10-15,8,'6-9,89.0
Otes,Elegood,Male,67,1940-11-25,83.0,above 70,NSW,Programmer III,Financial Services,High Net Worth,No,21,'above 20,11,'above 9,89.0
Dylan,Stranio,Male,47,1953-04-02,71.0,above 70,NSW,Project Manager,Manufacturing,High Net Worth,Yes,9,'5-10,8,'6-9,89.0
Arty,Strudwick,Male,85,1964-01-31,60.0,60-70,NSW,Data Coordiator,Health,Mass Customer,Yes,8,'5-10,10,'above 9,89.0
Tobiah,Heinsius,Male,66,2000-01-25,24.0,20-30,NSW,Chief Design Engineer,Health,High Net Worth,No,9,'5-10,8,'6-9,89.0
Winnifred,Beswetherick,Female,83,1976-06-08,47.0,40-50,VIC,Actuary,Financial Services,Mass Customer,No,14,'10-15,10,'above 9,89.0
Celia,Bryden,Female,12,1943-04-06,81.0,above 70,NSW,Chemical Engineer,Manufacturing,High Net Worth,No,21,'above 20,9,'above 9,89.0
Carita,Sand,Female,25,1977-03-20,47.0,40-50,NSW,Quality Engineer,Retail,Mass Customer,No,16,'15-20,11,'above 9,88.0
Tannie,Petrakov,Male,84,1951-11-27,72.0,above 70,QLD,Data Coordiator,IT,Affluent Customer,No,10,'10-15,6,'6-9,88.0
Karney,Burstow,Male,51,1972-07-02,51.0,50-60,NSW,Design Engineer,Property,Mass Customer,Yes,6,'5-10,12,'above 9,88.0
Tillie,Bisseker,Female,74,1960-08-10,63.0,60-70,NSW,Civil Engineer,Manufacturing,High Net Worth,No,14,'10-15,12,'above 9,87.0
Gipsy,Ewestace,Female,29,1956-08-30,67.0,60-70,NSW,Business Systems Development Analyst,Retail,High Net Worth,Yes,5,'5-10,12,'above 9,87.0
Sumner,Carrivick,Male,53,1995-04-09,29.0,20-30,NSW,Desktop Support Technician,Manufacturing,Mass Customer,No,15,'15-20,12,'above 9,87.0
Clotilda,Southers,Female,62,1999-11-08,24.0,20-30,NSW,Computer Systems Analyst II,Financial Services,Mass Customer,Yes,15,'15-20,4,'3-6,87.0
Denny,Spleving,Female,84,1973-05-13,51.0,50-60,NSW,Business Systems Development Analyst,Manufacturing,Affluent Customer,Yes,5,'5-10,8,'6-9,87.0
Oswald,MacCarlich,Male,81,1991-11-24,32.0,30-40,QLD,Assistant Media Planner,Entertainment,Mass Customer,No,14,'10-15,1,bellow 3,87.0
Mandie,MacAdie,Female,39,1974-12-25,49.0,40-50,NSW,Chief Design Engineer,Telecommunications,High Net Worth,No,13,'10-15,11,'above 9,87.0
Calhoun,Mussington,Male,98,1992-10-13,31.0,30-40,NSW,Dental Hygienist,Health,Mass Customer,No,12,'10-15,9,'above 9,87.0
Donaugh,Benedict,Male,3,1991-12-01,32.0,30-40,NSW,Systems Administrator III,Property,Mass Customer,No,12,'10-15,9,'above 9,87.0
Guenna,Filisov,Female,52,1969-02-09,55.0,50-60,NSW,Chemical Engineer,Manufacturing,High Net Worth,No,13,'10-15,9,'above 9,87.0
Sonni,Milligan,Female,73,1988-03-05,36.0,30-40,VIC,Budget/Accounting Analyst III,Retail,Mass Customer,Yes,14,'10-15,9,'above 9,87.0
Jammal,Devenny,Male,57,1999-05-14,25.0,20-30,VIC,Marketing Manager,Retail,High Net Worth,No,12,'10-15,9,'above 9,87.0
Roddy,Rubinshtein,Male,37,1987-10-08,36.0,30-40,QLD,Nurse Practicioner,Retail,Mass Customer,Yes,4,bellow 5,7,'6-9,86.0
Verla,Dumingos,Female,26,1971-09-18,52.0,50-60,VIC,Design Engineer,Telecommunications,Mass Customer,Yes,10,'10-15,8,'6-9,86.0
Tyne,Coate,Female,82,1965-07-15,58.0,50-60,NSW,Developer II,Manufacturing,Mass Customer,No,17,'15-20,8,'6-9,86.0
Hilario,McCulloch,Male,61,1986-01-10,38.0,30-40,VIC,Physical Therapy Assistant,Retail,Mass Customer,No,8,'5-10,8,'6-9,86.0
Dyann,Olechnowicz,Female,17,1939-07-17,84.0,above 70,VIC,Nuclear Power Engineer,Manufacturing,Mass Customer,No,16,'15-20,10,'above 9,86.0
Karly,Willavize,Female,2,1954-08-12,69.0,60-70,NSW,Internal Auditor,Manufacturing,High Net Worth,No,12,'10-15,10,'above 9,86.0
Erhard,O'Moylane,Male,33,1978-05-27,45.0,40-50,VIC,Media Manager I,Retail,Affluent Customer,Yes,9,'5-10,2,bellow 3,85.0
Ellsworth,Andrieux,Male,49,1971-04-26,53.0,50-60,QLD,Senior Cost Accountant,Financial Services,Affluent Customer,Yes,10,'10-15,7,'6-9,85.0
Sunny,Christescu,Female,90,1975-03-12,49.0,40-50,NSW,Cost Accountant,Financial Services,Mass Customer,No,11,'10-15,10,'above 9,84.0
Terrel,Keynd,Male,30,1961-04-20,63.0,60-70,QLD,Junior Executive,Manufacturing,Mass Customer,No,9,'5-10,7,'6-9,83.0
Sylas,Duffill,Male,56,1955-10-02,68.0,60-70,NSW,Staff Accountant IV,Property,Mass Customer,Yes,14,'10-15,9,'above 9,83.0
Rickert,Brasted,Male,47,1959-09-18,64.0,60-70,NSW,Staff Scientist,Health,Mass Customer,No,10,'10-15,9,'above 9,83.0
Robenia,Monks,Female,94,1959-05-08,65.0,60-70,QLD,Nurse Practicioner,Manufacturing,Mass Customer,No,5,'5-10,9,'above 9,83.0
Audry,Fann,Female,3,1957-10-17,66.0,60-70,VIC,Pharmacist,Health,Mass Customer,Yes,15,'15-20,6,'6-9,83.0
Vyky,Pegg,Female,64,1943-03-15,81.0,above 70,NSW,Quality Control Specialist,Manufacturing,Mass Customer,Yes,11,'10-15,7,'6-9,83.0
Jermaine,Bagshawe,Female,60,1954-05-14,70.0,above 70,QLD,Help Desk Operator,Property,Mass Customer,Yes,9,'5-10,6,'6-9,82.0
Loria,Tappington,Female,72,1955-09-06,68.0,60-70,VIC,Research Assistant IV,Property,Mass Customer,No,5,'5-10,8,'6-9,82.0
Kenneth,Elleyne,Male,13,1957-09-03,66.0,60-70,VIC,Technical Writer,Financial Services,Mass Customer,No,13,'10-15,11,'above 9,82.0
Rollo,Louedey,Male,64,1946-07-09,77.0,above 70,NSW,Information Systems Manager,Telecommunications,Affluent Customer,Yes,17,'15-20,9,'above 9,82.0
Sofie,Worsfold,Female,87,1954-10-06,69.0,60-70,QLD,Environmental Tech,Retail,Mass Customer,Yes,9,'5-10,6,'6-9,82.0
Noel,Sturch,Female,26,1951-10-28,72.0,above 70,VIC,Environmental Specialist,Health,Mass Customer,No,10,'10-15,1,bellow 3,82.0
Ashlen,Willbond,Female,64,1984-05-15,40.0,40-50,VIC,Software Consultant,Health,High Net Worth,No,16,'15-20,8,'6-9,82.0
Giorgi,O'Shirine,Male,68,1981-06-20,42.0,40-50,VIC,Payment Adjustment Coordinator,Retail,Mass Customer,Yes,15,'15-20,8,'6-9,82.0
Shepperd,Ricards,Male,28,1967-09-27,56.0,50-60,NSW,Social Worker,Health,Mass Customer,Yes,16,'15-20,4,'3-6,82.0
Dyane,Burwell,Female,19,1952-06-27,71.0,above 70,NSW,Engineer II,Retail,Mass Customer,Yes,7,'5-10,2,bellow 3,82.0
Lucretia,D'Agostini,Female,41,1978-12-14,45.0,40-50,VIC,Database Administrator III,Manufacturing,High Net Worth,No,15,'15-20,7,'6-9,82.0
Catha,Davitt,Female,79,1958-04-16,66.0,60-70,NSW,Environmental Specialist,Property,High Net Worth,Yes,6,'5-10,7,'6-9,82.0
Whit,Emloch,Male,30,1963-08-20,60.0,60-70,NSW,Food Chemist,Health,Mass Customer,Yes,6,'5-10,9,'above 9,82.0
Datha,Fishburn,Female,15,1990-07-02,33.0,30-40,VIC,Office Assistant IV,Retail,Mass Customer,No,3,bellow 5,12,'above 9,82.0
Bailey,Bereford,Male,44,1950-09-30,73.0,above 70,NSW,Senior Sales Associate,Argiculture,Affluent Customer,Yes,11,'10-15,6,'6-9,81.0
Danny,Bodle,Male,50,1943-09-24,80.0,above 70,NSW,Statistician I,Manufacturing,Mass Customer,Yes,18,'15-20,9,'above 9,81.0
Tabbie,Curner,Male,12,1997-03-13,27.0,20-30,VIC,Chief Design Engineer,Retail,Mass Customer,No,6,'5-10,6,'6-9,81.0
Kaine,Smallcombe,Male,59,1942-02-06,82.0,above 70,NSW,Senior Financial Analyst,Financial Services,High Net Worth,No,11,'10-15,10,'above 9,81.0
Shannen,Lewin,Female,21,1991-06-07,32.0,30-40,QLD,Analog Circuit Design manager,Argiculture,High Net Worth,No,6,'5-10,6,'6-9,81.0
Taber,Szymon,Male,70,1947-04-22,77.0,above 70,QLD,Senior Sales Associate,Argiculture,Affluent Customer,No,13,'10-15,8,'6-9,81.0
Gina,Mallon,Female,56,1994-02-11,30.0,30-40,QLD,Dental Hygienist,Health,Mass Customer,No,12,'10-15,2,bellow 3,81.0
Cheston,Hritzko,Male,70,1945-11-08,78.0,above 70,NSW,Software Engineer III,Manufacturing,Mass Customer,Yes,19,'15-20,9,'above 9,81.0
Reinald,Bembrigg,Male,54,1953-08-21,70.0,above 70,NSW,Senior Financial Analyst,Financial Services,Affluent Customer,No,10,'10-15,7,'6-9,81.0
Eustacia,Dornan,Female,68,1985-09-02,38.0,30-40,VIC,Account Representative IV,Property,Mass Customer,No,5,'5-10,9,'above 9,81.0
Jordan,Clampe,Male,37,1939-12-09,84.0,above 70,QLD,Staff Scientist,Financial Services,Mass Customer,Yes,11,'10-15,5,'3-6,81.0
Omero,McDonand,Male,51,1952-04-01,72.0,above 70,NSW,Software Consultant,Manufacturing,Mass Customer,No,16,'15-20,9,'above 9,81.0
Adria,Van den Velde,Female,39,1978-07-10,45.0,40-50,NSW,Nuclear Power Engineer,Manufacturing,Affluent Customer,Yes,9,'5-10,7,'6-9,80.0
Karrah,Howell,Female,63,1956-11-07,67.0,60-70,NSW,Civil Engineer,Manufacturing,Mass Customer,No,17,'15-20,9,'above 9,80.0
Ricki,Padefield,Male,43,1948-08-03,75.0,above 70,QLD,Automation Specialist III,Manufacturing,Affluent Customer,Yes,13,'10-15,9,'above 9,80.0
Anson,Dearnaly,Male,68,1997-06-29,26.0,20-30,NSW,Data Coordiator,Health,Affluent Customer,Yes,11,'10-15,11,'above 9,80.0
Diego,Van den Broek,Male,17,1964-09-28,59.0,50-60,QLD,Business Systems Development Analyst,Manufacturing,Affluent Customer,Yes,13,'10-15,7,'6-9,80.0
Daisi,Tinwell,Female,84,1971-12-24,52.0,50-60,NSW,Business Systems Development Analyst,Financial Services,Mass Customer,No,11,'10-15,8,'6-9,80.0
Barthel,Docket,Male,72,1985-08-02,38.0,30-40,QLD,Accounting Assistant IV,IT,Mass Customer,Yes,17,'15-20,5,'3-6,80.0
Rosmunda,Duxbarry,Female,69,1996-07-20,27.0,20-30,QLD,Executive Secretary,Property,Affluent Customer,Yes,5,'5-10,11,'above 9,80.0
Dolorita,Strutton,Female,7,1991-05-21,32.0,30-40,VIC,General Manager,Manufacturing,Affluent Customer,No,17,'15-20,8,'6-9,79.0
Annabelle,Hanwell,Female,11,1951-11-28,72.0,above 70,VIC,Professor,Manufacturing,High Net Worth,Yes,15,'15-20,12,'above 9,79.0
Elvin,Trayhorn,Male,46,1993-06-02,30.0,30-40,NSW,VP Accounting,Financial Services,High Net Worth,No,10,'10-15,10,'above 9,79.0
Adriane,Richardson,Female,81,1976-03-10,48.0,40-50,VIC,Data Coordiator,Manufacturing,High Net Worth,No,9,'5-10,8,'6-9,78.0
Inglebert,Aspinal,Male,4,1973-10-13,50.0,50-60,NSW,Financial Analyst,Financial Services,Mass Customer,No,11,'10-15,8,'6-9,78.0
Ashby,Bispham,Male,71,1981-10-29,42.0,40-50,NSW,Software Consultant,Retail,Affluent Customer,No,4,bellow 5,8,'6-9,78.0
Laurie,Odlin,Female,75,1983-03-08,41.0,40-50,VIC,Social Worker,Health,High Net Worth,No,10,'10-15,10,'above 9,78.0
Dickie,Cubbini,Male,30,1952-12-17,71.0,above 70,QLD,Financial Advisor,Financial Services,Mass Customer,Yes,19,'15-20,2,bellow 3,78.0
Wendye,Kleinplatz,Female,48,1996-05-28,27.0,20-30,QLD,Executive Secretary,Manufacturing,Affluent Customer,No,14,'10-15,3,'3-6,78.0
Katie,Warhurst,Female,0,1991-12-02,32.0,30-40,VIC,Help Desk Operator,Retail,High Net Worth,Yes,14,'10-15,5,'3-6,78.0
Art,Shardlow,Male,57,1963-10-15,60.0,60-70,QLD,Data Coordiator,Argiculture,Mass Customer,Yes,15,'15-20,2,bellow 3,78.0
